cluster,label,size,dominant_official_issue,example
0,Duplicate complaint content,148,Problem with a company's investigation into an existing problem,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
1,Inconsistent account late payment reporting.,211,Problem with a company's investigation into an existing problem,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
2,Incorrect late payment entry.,170,Incorrect information on your report,"I urgently request the removal of this inaccurate late payment from my account. I've consistently made timely payments, and this entry is causing me undue stress. Please rectify this error promptly by updating my account."
3,Late payment inaccuracy.,164,Incorrect information on your report,"My credit report includes late payment entries that I believe are incorrect. In line with 15 USC 1681e ( b ) and 15 USC 1681i, the report must contain only data that is accurate, complete, and verifiable. I request verification of these entries, and if they can not be substantiated, they should be u"
4,Credit card issues,656,Problem with a purchase shown on your statement,In 2016 I called Barclays to say I might need to dispute a charge on my Barclay Arrival credit card made by on //16 because they were refusing to allow me to rebook a flight which they had agreed to let me reschedule for medical reasons. I told them If I were unable to resolve the matter I would fil
5,Repetition of 15 USC 1666,141,Incorrect information on your report,"I affirm that the inaccurate late payment remarks on my accounts are in violation of 15 USC 1666. I have consistently made my payments on time, and any discrepancies in this reporting are unjust and unlawful."
6,Lack of access to records,749,Problem with a purchase shown on your statement,"Im providing this information in a timely manner as I am concerned about the proximity of Wells Fargo Bank/ to what is occurring and data that has been breached, the inconsistency information their staff is providing, and the damage their process is causing to my credit and how this may impact other"
7,Inaccurate payment history.,568,Problem with a company's investigation into an existing problem,"My payments are consistently on time, and I have no doubts about this. I ensure prompt payments and maintain accuracy in this. Please update my accounts to remove any late payment remarks from my credit report."
8,Late payment remarks.,248,Problem with a company's investigation into an existing problem,"Ensuring timely payments on this account has been a priority for me, ensuring they're never overdue. I'm unclear about the reasons behind the reports of late payment remarks on my accounts. As per 15 USC 1666b, billing errors should be corrected."
9,Denial of Credit,711,Problem with a purchase shown on your statement,"I disputed a transaction in the amount of {$90.00} for a transaction occuring on //24 for services not rendered. On //24, Discover stated "" since the services were recieved this charge can not be disputed. '' Pursuant to the Fair Credit Billing Act, I requested "" copies of documentary evidence of th"
10,Unauthorized Transactions on CashApp,101,Problem with a purchase shown on your statement,"Hi, I received cash app credit card under my name. I never applied for it. Please contact them for fraud account."
11,Unauthorized Charges,189,Problem with a purchase shown on your statement,I was given false statements from chime regarding my dispute I have filed and was rudely talked to and hung up on with no help
12,Incorrect Negative Credit Reporting,103,Problem with a company's investigation into an existing problem,"Examine the attached documents. I want the bureau to initiate an investigation into these accounts, as I am never late, but they are incorrectly reported as such."
13,Referral/Program bonus issues,116,"Advertising and marketing, including promotional offers",Capital One ran a Capital One Offer for . The offer was miles for on . //year> - I took a screenshot of the summarized offer terms and enrolled in the offer using my Capital One Venture X Visa card ending in . //year> - I placed the my First Restaurant Order using the same credit card //year> - Capi
14,Fraudulent Account Activity,1997,Problem with a purchase shown on your statement,I contacted Capital One on to request a lower APR for my business credit card & regular credit card. The agent ensured me that negotiating a new APR is not something that the company does. I then asked if they were able to match the interest rate for a competing credit card company. The agent told m
15,Unfair or Unjust Billing,2229,Problem with a purchase shown on your statement,"of 2014, I was behind on my payments. I was awarded proceeds from my divorce. Before divorce, former spouse was the only source of income. I contacted Citi, in regards to me account. During the phone conversation, I requested for the late charges, as well as as late remarks on credit reports to be r"
16,Poor Customer Service.,195,Problem with a purchase shown on your statement,//scrub> - I went in to Navy Federal Credit Union to ask why Im negative with my credit card payment. They told me I made a {$330.00} payment to my credit card. I told them it was not true and that I made a {$600.00} payment. The manager said I only made a {$330.00} payment. I then asked for camera 
17,Unauthorized Account Charges,204,Problem with a purchase shown on your statement,"On Ive ordered Macys gift cards # {$190.00} e-gift card, {$100.00} physical gift card. On // Ive received e-gift card. Per Macys delivery history,2- 3days ( I dont remember exact date ) Ive received physical gift card. Ive contacted to Macys and I let them know I havent received gift card, I request"
18,Denied Hardship Payment Agreements,108,Struggling to pay your bill,"When I first contacted Santander to report financial hardship, I was told there was no hardship program available, but that I could pay whatever I could afford. Based on that guidance, I made partial payments. After late fees were assessed, I called again and was told that the previous information w"
19,Unfair account handling practices,1028,Problem with a purchase shown on your statement,"Around // Amex suspended all of my credit cards and requested documents from me to go through a financial review. I provided all the requested documents on the same day and followed up with amex multiple times on the status of the review, as I need these cards for my upcoming spending and travel nee"
20,Incorrect reward redemption,503,"Other features, terms, or problems","I applied and was instantly approved for the PayPal Cashback Mastercard on //. The application page clearly and definitely stated that I would receive a "" {$50.00} cash back bonus '' after making my first purchase. However, I have now had this credit card account for nearly four months and still hav"
