complaint_id,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company,state,zip_code
1001,2024-01-15,Credit reporting,Credit reporting,Incorrect information on your report,Information belongs to someone else,I checked my credit report and noticed three unauthorized hard inquiries and an account that belongs to someone else. I submitted a dispute with the credit bureau but received no response within 30 days.,EQUIFAX INC.,CA,90210
1002,2024-01-18,Credit card,General-purpose credit card,Problem with a purchase shown on your statement,Card was charged for item never received,I purchased an item online using my credit card but the merchant never shipped the product and refused to issue a refund. I opened a transaction dispute with my bank but they denied it without explanation.,JPMORGAN CHASE CO,NY,10001
1003,2024-01-20,Mortgage,Conventional home mortgage,Trouble during payment process,Loan modification or escrow issues,My mortgage servicer improperly calculated my escrow payment leading to a sudden surge in monthly payments. When I called customer service representatives gave conflicting information and refused to review my account statements.,WELLS FARGO COMPANY,TX,75001
1004,2024-01-22,Debt collection,Auto debt,Attempts to collect debt not owed,Debt is not mine,A debt collector has been repeatedly calling my workplace demanding payment for an auto loan I paid off three years ago. I sent a debt validation letter via certified mail but they continue threatening legal action.,CAPITAL ONE FINANCIAL CORP,FL,33101
1005,2024-01-25,Checking or savings account,Checking account,Managing an account,Fee problem or unexpected charge,My bank charged multiple overdraft fees on a single day despite my account having a positive balance at the time of transaction authorization. Customer service refused to waive the unexpected penalty fees.,BANK OF AMERICA,IL,60601
1006,2024-02-01,Credit reporting,Credit reporting,Problem with investigation,Investigation took longer than 30 days,I disputed an inaccurate late payment record on my credit report. The credit reporting agency claimed they verified the data with the creditor but provided no documentation or proof of verification.,TRANSUNION INTERMEDIATE HOLDINGS,NC,27601
1007,2024-02-03,Student loan,Federal student loan servicing,Dealing with servicer,Received inaccurate repayment info,I applied for an Income-Driven Repayment plan for my student loans. The servicer lost my income documentation twice and placed my account in delinquent status while processing my application.,MOHELA,MO,63101
1008,2024-02-05,Credit card,General-purpose credit card,Fees or interest charges,Unexpected annual fee charge,My credit card company raised my APR without giving the required notice and charged an annual fee on an account that was explicitly marketed as no-fee.,CITIBANK,GA,30301
1009,2024-02-10,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was paid or discharged,I received debt collection letters for a medical bill that was fully settled by my health insurance provider six months ago. The collection agency refuses to update their records.,ENCORE CAPITAL GROUP,OH,44101
1010,2024-02-12,Checking or savings account,Savings account,Closing an account,Funds held unexpectedly,I requested to close my savings account and transfer the remaining balance to my checking account at another bank. The bank froze my funds for over three weeks without giving a valid reason.,US BANCORP,MN,55401
